	0
0	Mantaap kayaknya cakep tuh panloknya hu
1	Ijin gelar tikar suhu
2	kancutkan gaann... mantap
3	Tambah hu..yang panjang
4	Wooow I love panlok, teimaksih banyak suguhannya suhu
5	Gelar tiker tggu updatean
6	gas suhu hehe
7	Ga tahan dah liat beginian 
8	Wow mulus sekali hu
9	Wow mulus sekali hu
10	Suhu makasih bgt, pas liat pantatnya mulus lagi naik turun itu rasanya pengen nerkam langsung, gemes emang panlok tuh. I'll wait for the update suhuu
11	Anjay..pantatnya mulus bgt..
12	Ijin untuk menunggu update 
13	Istimewah hu..ente memang luar biasa, lanjut update yg lebih seru dan bikin konak lg hu... .
14	mulus huu. pink2 gitu mekinya
15	Ijin gelar tiker suhu buat yg mulus
16	Masang tratak dulu
17	Thread Watched Hu..
18	Nah yang ginian yang perlu di pantengin. Ditunggu updatenya hu
19	Putih suhu 
20	Gelar tiker hu..
21	Bening
22	Pasang jangkar.. rapatkan barisan.. siap menunggu apdetan dari Suhu
23	Lanjutkan gan
24	duduk manis tunggu lanjutan dr suhu.
25	beruntung banget ente hu, jadi ngiler 
26	dapet yang begini dimana sih hu wkwkwkw
27	ijin gelar tikar hu...
28	Duduk manis
29	gelar tiker
30	Nyimak sambil minum 
31	Wah mantab, suhu comeback juga akhirnya
32	Mantao nih
33	nitipin sendal dimari..
34	Uwuuu wagelaseh
35	Ikut gelar tiker
36	camp here my friend...
37	Wah si om subes SSI keliatannya.
38	Mekinya merah banged waduh jadi pengen
39	wah ini yg sampe ke negeri singa ya eksenya? dulu sih vidnya waktu blm kawin. hahaha
40	waw merah muda 
41	Ajibbb.... ayo hu apdet nya ditunggu.....
42	Pasti itundalam meki ada vaccum cleaner nya.. bs nyedot2... berkah buat ente suhuu
43	Bersih bener Om ..
44	wah kayaknya tau nih panlok wot
45	ebujug suhu...mantabh keren ini panlok nya...ijin gelar tiker suhu...
46	Joss hu mulus
47	Kerennnnn huffttt
48	Lhoo, manteb tenan suhu. Moga langgeng 
49	mantap suhuu
50	bokongnya ajib nih gamm
51	Ditunggu gamger lanjutannya hu.. 
52	ruesik ini pantat
53	Enak bgt tuh semok bin legit
54	Beeeehhhh kelaaaassssssss !!!! Manteeep pisan euy
55	Mangap suhu,. Bener2 mangap,. Berkelas,. Lanjuuuttttt
56	ijin ke tkp suhu
57	Berlekas suhu. Salam kenal ane bocah dari selatan jakarta
58	ini kalo ga lanjut sayang banget hu
59	Ijinnnn mantaaauu mantep banget ni
60	mantapppp...mulus bgt panloknya hu, cantik nie kayaknya
61	ancuuuur mulus bener suhu lanjut lanjut hehehe
62	Lancrotkaaaann huuu! Ane pensiun jadi SR sejak tau trit beginian 
63	Di tunggu lanjutannya suhu mantap
64	Lanjutkan perjuanganmu kisanak
65	Mantappppp huu
66	Sedap sekali hu
67	Selama ini silent reader.
68	Busettt putih bener gak sabar suhu tunggu lanjutannya
69	Enak ini hu buat bacol
70	mantab banget cewenya suhu
71	enak bgt croot nya niiihh
72	bening amat
73	Gila itu mekinya hu .... pinky banget dalemannya 
74	Serius gan ini kisah nyata ente??ga tau ane yg dejavu apa gmn yh.. tp kyny uda pernah liat nh dulu..mangap kalo ane salahh..
75	Izin nangkring gan.. updatenya jgn lama2 dong.. 
76	Calon trit legend ini mah
77	ayo suhu diupdate
78	Lu orang lanciao hokky suhu . Bisa dapet memek mulus kek gt 
79	Kasih watermark aja hu biar ga ada yg nyolong
80	Akhirnya bisa lihat video ini lagi....ane inget gan.....update lagi gan.....
81	Mantap hu panlok, 
82	Ngikut ndirikan tenda
83	Mantap...
84	Update lagi suhu.. penasaran euy
85	Emang andalannn
86	Ane rela dech pindah agama skalian, asalkan bisa nikah sama yang begini.. Dari pada gk pernah ngerasain yang beginian..
87	Musti gelar karpet nh
88	Nunggu update huuuu. Lannjutkan
89	Mantep hu lanjutkan cantik ttmnya
90	Demi apa ketemu gambar gerak ini lagi 
91	Bikin tenda dulu hehehe
